# x_m,y_m,w_tr_right_m,w_tr_left_m
5.0,12.200000000000003,2.10535032714273,40.00165621571187
-5.249999999999986,12.450000000000006,2.0751505969447135,39.42786134194955
-10.0,14.45,1.9405218370325032,36.869914903617556
-16.999999999999993,14.700000000000003,2.147091055358389,40.794730051809395
-24.74999999999998,18.200000000000006,2.2810359488618324,43.339683028374814
-28.75,23.95,2.175143673415621,41.32772979489679
-33.24999999999999,33.95,2.059429532661898,39.12916112057605
-34.74999999999998,38.95,1.9764235376052373,37.55204721449951
-34.74999999999998,50.199999999999996,1.8809904305976681,35.73881818135569
-34.49999999999999,60.45,1.9768978223469216,37.56105862459151
-34.74999999999998,75.7,2.0256171898954647,38.48672660801383
-34.74999999999998,84.45,2.149709282670566,40.84447637074075
-34.49999999999999,104.95000000000002,2.2069492517953377,41.93203578411142
-34.74999999999998,114.2,2.245133626312697,42.65753889994124
-34.25000000000001,119.2,2.317460895031457,44.03175700559768
-31.750000000000007,129.7,2.3818322778902803,45.254813279915325
-28.49999999999998,137.45000000000002,2.431177698153716,46.192376264920604
-23.75,143.70000000000002,2.410005186716411,45.790098547611805
-20.749999999999993,148.2,2.500124996875156,47.502374940627966
-16.499999999999986,151.20000000000002,2.505992817228334,47.61386352733834
-7.749999999999986,151.95,2.29809703885628,43.663843738269314
-0.7499999999999929,151.70000000000002,2.256795294217001,42.87911059012302
4.500000000000028,150.7,2.261083810919003,42.96059240746105
9.000000000000021,147.7,2.1783020910791966,41.387739730504734
13.250000000000028,144.95000000000002,2.227386360737625,42.32034085401487
20.500000000000007,137.7,2.121320343559643,40.30508652763321
23.75,132.95000000000002,2.059429532661898,39.12916112057605
27.250000000000014,125.95,2.0288543565273485,38.548232774019624
27.75000000000002,120.95,1.9445436482630059,36.94632931699711
29.00000000000002,102.45000000000002,1.7714753738056874,33.65803210230806
29.250000000000007,95.45,1.7793959649274247,33.80852333362107
30.25000000000002,80.7,1.750892629489313,33.266959960296944
30.0,71.20000000000002,1.7000000000000002,32.3
31.25,62.44999999999999,1.8388175548433292,34.93753354202325
31.25,51.449999999999996,1.8791620472966135,35.70407889863565
31.000000000000014,38.7,1.9906029237394383,37.821455551049326
29.750000000000014,32.45,2.0691181696558565,39.31324522346127
27.00000000000003,24.200000000000003,2.2209232314512812,42.19754139757434
24.250000000000007,19.700000000000003,2.280487886396242,43.3292698415286
19.00000000000002,15.450000000000003,2.2854157171070653,43.42289862503424
11.750000000000007,13.700000000000006,2.117339132023966,40.229443508455354
5.0,12.200000000000003,2.10535032714273,40.00165621571187
