# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; 2.160; 7.415; 7.723
10.0; 0.593; 1.719; 7.777; 7.965
20.0; 1.330; 1.744; 7.838; 8.030
30.0; 1.952; 2.598; 6.899; 7.372
40.0; 2.499; 2.857; 6.569; 7.164
50.0; 3.015; 1.877; 7.878; 8.099
60.0; 3.524; 1.222; 8.569; 8.656
70.0; 4.050; 0.656; 8.697; 8.721
80.0; 4.525; 0.357; 8.752; 8.759
90.0; 4.912; 0.953; 8.572; 8.625
100.0; 5.361; 1.316; 8.532; 8.633
110.0; 5.851; 1.388; 8.493; 8.605
120.0; 6.310; 2.136; 7.687; 7.979
130.0; 6.728; 3.546; 5.612; 6.639
140.0; 7.110; 4.421; 3.983; 5.951
150.0; 7.488; -2.632; 4.384; 5.113
160.0; 7.914; -8.058; 3.788; 8.903
170.0; 8.436; -7.630; 4.032; 8.630
180.0; 9.084; -3.494; 7.950; 8.684
190.0; 9.784; -3.089; 8.338; 8.892
200.0; 10.368; -3.269; 8.082; 8.718
210.0; 10.905; -0.770; 8.263; 8.299
220.0; 11.473; 2.283; 7.139; 7.495
230.0; 12.121; 2.258; 7.017; 7.372
240.0; 12.819; 3.497; 5.733; 6.715
250.0; 13.435; 5.463; 1.595; 5.691
260.0; 13.906; 4.442; -3.803; 5.848
270.0; 14.243; 1.955; -7.813; 8.054
280.0; 14.581; 1.463; -8.397; 8.523
290.0; 14.989; 2.006; -7.846; 8.098
300.0; 15.384; 2.424; -5.807; 6.292
310.0; 15.791; -6.648; 0.846; 6.702
320.0; 16.353; -6.019; 5.628; 8.240
330.0; 16.914; -3.351; 8.178; 8.838
340.0; 17.279; -2.785; 8.502; 8.947
350.0; 17.780; -2.403; 8.539; 8.871
360.0; 18.371; -0.321; 8.595; 8.601
370.0; 18.837; 2.160; 7.415; 7.723
